sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
ewpmc,m,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,0,1,<,<,<,>,>,<,<,<,<,>,>,<,<,n,>,>,n,>,>,>,n,>,=,<,<,<,<,>
mewcs,m,0,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wcsem,m,0,professional,village,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,>
ewmsc,m,0,general,village,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmsc,m,0,general,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wmces,m,0,higher,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,<,>,<,<,>
ews,m,1,general,village,yes,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,<,<,<,<,<
swemc,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
ewmcs,m,1,professional,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
swcmpdeb,m,1,higher,city,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,<,<,>,>,>,<,<,<,>,>,>,>,>,>,>,>,<,>,>,>,>,>,>,>,<,<
emwcs,m,0,general,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
pcmsewb,m,1,general,village,yes,never,1,1,1,0,1,1,1,1,<,<,<,<,<,<,<,<,<,<,<,<,>,<,>,>,>,>,>,>,>,>,<,>,>,>,>,>
ews,m,1,professional,city,yes,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,<,<,<,<,<
wsemc,m,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
eswm,m,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,0,>,n,n,>,>,>,n,<,<,>,>,>,<,n,>,>,>,n,>,>,>,n,<,<,<,>,<,<
mswce,m,1,professional,city,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
swmce,m,0,general,city,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
e,m,1,general,village,yes,never,0,0,0,0,1,0,0,0,n,n,n,>,n,n,n,n,n,>,n,n,n,n,>,n,n,n,>,n,n,n,<,<,<,n,n,n
wmsce,m,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wsmecdp,m,1,professional,village,yes,never,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,<,>,>,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<,<
wpsmec,m,1,higher,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,<,>,<,<,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewpsmc,m,1,general,village,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,=,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wspcme,m,0,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,<,>,>,<,<,<,<,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wme,m,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,0,0,>,n,n,>,>,n,n,<,<,<,>,<,<,n,>,>,n,n,>,>,n,n,>,<,<,<,<,n
emswcd,m,1,professional,city,yes,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,<,=,<,>,>,>,>,>,>,>,>,>,<,<,<,>,<,<
ewspcb,m,0,professional,village,yes,never,1,0,1,0,1,1,1,1,<,<,<,>,>,>,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
eswmc,m,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,=,<,>,<,<
swepc,m,0,professional,town,yes,never,1,0,0,0,1,1,1,1,<,<,<,>,>,>,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
wepsmc,m,1,professional,village,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
sewpmc,m,1,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wpsce,m,1,professional,city,no,sev_a_year,1,0,0,0,1,1,1,1,<,<,<,<,>,<,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wemcsd,m,0,general,city,yes,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,<,<,>,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewmsc,m,1,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
emswc,m,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,=,<,n,>,>,>,>,>,>,>,>,<,<,<,>,<,<
wsmce,m,1,general,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wesmc,m,0,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
swmec,m,1,professional,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
emwcs,m,0,general,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewsmc,m,1,professional,village,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
swmce,m,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
smewc,m,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewmc,m,0,higher,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewcms,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewspmc,m,1,general,village,no,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
sewmd,m,0,professional,village,yes,never,0,1,0,1,1,1,1,0,>,n,>,>,>,>,n,<,<,>,>,>,<,>,>,>,>,n,>,>,>,<,<,>,<,>,<,<
ewmsc,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
semcw,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,>,<
ew,m,1,higher,city,yes,sev_a_year,0,0,0,0,1,1,0,0,n,n,n,>,>,n,n,n,n,>,>,n,n,n,>,>,n,n,>,>,n,n,<,<,<,<,<,n
ews,m,1,professional,city,yes,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,<,<,<,<,<
