gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;last_ev
f;general;village;yes;sev_a_year;7g;0;1;0;0;1;1;0;1;work
f;higher;village;yes;sev_a_year;9g;0;1;0;0;1;1;0;1;work
f;professional;village;yes;sev_a_year;1g;0;0;0;0;1;0;1;1;sep
f;professional;village;yes;min_once_a_month;6g;0;0;0;0;1;0;1;1;sep
f;higher;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;7g;0;1;0;0;1;0;1;1;sep
f;professional;village;yes;sev_a_year;5g;0;1;0;1;1;1;1;0;education
f;higher;village;yes;sev_a_year;8g;0;1;0;0;1;0;1;1;sep
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;1g;1;0;1;0;0;0;1;1;sep
m;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;8g;0;1;0;0;0;0;1;1;child
f;professional;village;yes;min_once_a_month;3g;0;1;0;1;1;0;1;1;partner
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
m;higher;village;yes;never;8g;0;1;0;0;1;0;1;1;sep
f;general;village;yes;sev_a_year;5g;0;0;0;0;1;1;1;1;partner
f;professional;village;yes;sev_a_year;6g;0;1;0;0;1;1;0;1;work
f;professional;village;yes;sev_a_year;8g;0;1;0;0;1;0;1;1;sep
f;higher;village;yes;sev_a_year;7g;0;1;0;0;1;0;1;1;sep
f;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;6g;1;0;1;0;0;1;1;1;child
f;general;village;yes;never;9g;0;1;0;1;1;0;1;1;sep
f;general;village;yes;never;7g;0;0;0;0;1;0;1;1;sep
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;4g;0;0;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;5g;0;1;0;1;0;1;1;1;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;9g;0;0;0;0;1;1;1;1;marriage
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
m;general;village;no;never;7g;0;1;0;0;1;0;1;1;sep
f;professional;village;yes;sev_a_year;11g;1;1;0;0;0;1;1;1;child
m;professional;village;yes;sev_a_year;10g;1;0;0;0;0;1;1;1;child
m;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;child
m;higher;village;no;never;11g;0;0;0;0;0;1;1;1;marriage
m;professional;village;no;never;7g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;10g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;5g;1;1;0;0;0;1;1;1;child
m;professional;village;yes;never;3g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;sep
f;professional;village;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;child
f;higher;village;yes;sev_a_year;5g;0;1;0;0;1;1;0;1;work
f;general;village;yes;never;6g;0;1;0;0;1;1;1;1;partner
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;sep
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;8g;1;1;0;1;1;1;1;1;br
m;higher;city;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;div
f;professional;city;yes;sev_a_year;10g;0;1;0;0;0;1;1;1;child
f;general;city;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;br
f;higher;city;yes;sev_a_year;3g;0;1;0;0;1;1;1;0;education
m;professional;city;yes;never;7g;1;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;4g;0;1;0;0;1;0;1;1;sep
f;general;city;yes;sev_a_year;4g;1;1;0;0;1;1;1;1;br
f;professional;city;yes;never;2g;1;1;0;1;1;1;1;1;br
f;professional;city;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;sep
m;professional;city;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;sep
f;professional;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;min_once_a_month;11g;0;1;0;0;0;1;1;1;child
m;higher;city;yes;min_once_a_month;10g;0;1;0;0;1;1;1;0;education
f;higher;city;yes;sev_a_year;11g;1;1;0;0;1;1;1;0;education
f;professional;city;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;br
f;higher;city;yes;never;2g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;never;2g;0;0;0;0;0;1;1;0;education
m;higher;city;yes;sev_a_year;10g;0;1;0;0;1;0;1;1;sep
f;professional;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;div
m;professional;city;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;child
m;professional;city;yes;never;7g;0;1;0;1;1;0;1;1;sep
m;general;city;yes;never;5g;0;1;0;0;0;1;1;1;child
f;higher;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;child
m;professional;city;yes;min_once_a_month;8g;0;1;0;0;1;1;1;0;education
f;higher;city;yes;sev_a_year;9g;0;0;0;0;0;0;1;1;sep
m;higher;city;no;sev_a_year;11g;0;1;0;0;0;0;1;1;child
f;professional;city;yes;once_a_week;3g;1;1;0;0;1;1;1;1;br
m;general;city;yes;sev_a_year;8g;1;1;0;0;1;0;1;1;sep
f;general;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;child
f;higher;city;yes;sev_a_year;4g;0;0;0;0;0;0;0;1;sep
f;professional;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
f;professional;city;yes;sev_a_year;7g;1;0;0;0;1;1;1;1;marriage
f;general;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;child
f;higher;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;div
m;general;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
m;general;city;yes;never;2g;0;1;0;0;1;0;1;1;sep
m;professional;city;yes;never;9g;1;1;1;0;1;1;1;1;div
m;professional;city;yes;sev_a_year;11g;1;0;0;0;0;1;1;1;br
f;professional;city;yes;min_once_a_month;6g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;5g;0;0;0;0;0;1;1;1;child
m;higher;city;yes;sev_a_year;8g;0;1;0;0;1;1;1;0;education
f;professional;city;yes;sev_a_year;2g;0;1;0;1;1;1;1;1;partner
f;professional;city;yes;never;5g;0;1;0;0;1;1;1;0;education
f;general;city;yes;sev_a_year;4g;1;1;1;1;1;0;1;1;sep
f;professional;city;yes;sev_a_year;6g;1;1;0;0;1;0;1;1;sep
f;professional;city;yes;sev_a_year;9g;1;0;0;0;1;1;0;1;work
m;professional;city;yes;sev_a_year;7g;1;1;1;1;1;0;1;1;sep
f;higher;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;child
f;professional;city;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;child
f;professional;city;no;never;6g;0;1;0;0;0;1;1;1;child
f;general;city;yes;sev_a_year;3g;1;1;1;0;1;1;1;1;div
m;higher;city;yes;sev_a_year;8g;1;0;0;0;0;0;1;1;br
m;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;0;education
f;professional;city;yes;never;7g;0;1;0;0;1;1;1;0;education
f;higher;city;yes;sev_a_year;11g;0;0;0;0;0;0;1;0;education
m;higher;city;yes;never;7g;1;1;0;0;1;1;0;1;work
m;general;city;yes;never;6g;0;1;0;0;0;1;1;1;child
m;professional;city;yes;sev_a_year;11g;1;1;0;0;0;0;1;1;child
