partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
;228;;;290;196;228;244;higher;city;yes;sev_a_year;3g;f
235;236;;;224;204;235;243;professional;city;yes;never;7g;m
;211;;;207;209;282;222;professional;city;yes;sev_a_year;4g;f
229;241;471;;221;208;251;247;general;city;yes;sev_a_year;4g;f
606;258;788;263;607;217;359;266;professional;city;yes;never;2g;f
;227;;;320;226;463;245;professional;city;yes;sev_a_year;2g;f
;298;;;475;206;650;307;professional;city;yes;sev_a_year;2g;m
;371;;;248;227;361;376;professional;city;yes;sev_a_year;6g;f
;283;;;300;224;283;301;professional;city;yes;sev_a_year;2g;f
;277;;;227;229;277;287;professional;city;yes;min_once_a_month;11g;f
;275;;;324;276;275;304;higher;city;yes;min_once_a_month;10g;m
202;229;;;278;263;202;232;higher;city;yes;sev_a_year;11g;f
236;238;542;;241;244;286;248;professional;city;yes;sev_a_year;2g;f
;348;;;316;299;245;361;higher;city;yes;never;2g;f
;;;;402;252;252;;professional;city;yes;never;2g;f
;350;;;269;288;385;364;higher;city;yes;sev_a_year;10g;m
;304;;;289;206;206;327;professional;city;yes;sev_a_year;4g;f
;227;;298;226;228;227;252;professional;city;yes;sev_a_year;5g;f
;305;;;249;249;305;310;professional;city;yes;sev_a_year;9g;m
;297;;311;209;221;456;391;professional;city;yes;never;7g;m
;286;;;235;187;240;288;general;city;yes;never;5g;m
;312;;;292;256;237;379;higher;city;yes;sev_a_year;2g;f
;203;;;267;219;205;224;professional;city;yes;min_once_a_month;8g;m
;;;;287;301;414;;higher;city;yes;sev_a_year;9g;f
;286;;;264;229;;318;higher;city;no;sev_a_year;11g;m
288;300;609;;352;203;299;300;professional;city;yes;once_a_week;3g;f
270;288;;;190;165;324;279;general;city;yes;sev_a_year;8g;m
;230;;;237;201;177;239;general;city;yes;sev_a_year;4g;f
;256;;;212;214;256;265;professional;city;yes;sev_a_year;5g;f
;;;;287;289;289;;higher;city;yes;sev_a_year;4g;f
;257;;;219;221;410;267;professional;city;yes;sev_a_year;6g;f
442;507;;;231;234;442;471;professional;city;yes;sev_a_year;7g;f
;232;;;219;216;232;257;general;city;yes;min_once_a_month;2g;f
;244;;363;286;228;244;253;higher;city;yes;sev_a_year;5g;f
;267;;;509;268;649;284;general;city;yes;sev_a_year;6g;m
;359;;;309;198;391;368;general;city;yes;never;2g;m
250;360;339;420;226;197;262;278;professional;city;yes;never;9g;m
251;;311;;226;191;217;;professional;city;yes;sev_a_year;11g;m
;258;;;231;223;189;265;professional;city;yes;min_once_a_month;6g;f
;;;;230;204;318;339;professional;city;yes;sev_a_year;5g;f
;280;;;424;280;341;287;higher;city;yes;sev_a_year;8g;m
586;232;;367;529;184;226;244;professional;city;yes;sev_a_year;2g;f
;257;;;270;228;257;264;professional;city;yes;never;5g;f
278;284;332;361;242;223;371;293;general;city;yes;sev_a_year;4g;f
241;256;;;209;210;479;263;professional;city;yes;sev_a_year;6g;f
228;;;;228;303;220;237;professional;city;yes;sev_a_year;9g;f
346;310;358;331;260;262;367;317;professional;city;yes;sev_a_year;7g;m
;259;;;267;269;208;271;higher;city;yes;sev_a_year;6g;f
272;305;;;212;213;272;354;professional;city;yes;sev_a_year;9g;f
;311;;;229;231;230;326;professional;city;no;never;6g;f
221;277;225;415;208;212;221;283;general;city;yes;sev_a_year;3g;f
300;;325;;265;266;;;higher;city;yes;sev_a_year;8g;m
;289;;;534;244;208;296;professional;city;yes;sev_a_year;5g;m
;240;;;471;229;258;261;professional;city;yes;never;7g;f
;;;;283;233;;;higher;city;yes;sev_a_year;11g;f
257;262;;;286;359;269;279;higher;city;yes;never;7g;m
;235;;;199;199;222;256;general;city;yes;never;6g;m
259;271;;;216;216;;273;professional;city;yes;sev_a_year;11g;m
;255;;;241;260;255;280;professional;city;yes;sev_a_year;6g;f
;229;;;227;204;229;243;professional;city;yes;sev_a_year;9g;m
;247;;;220;244;;269;professional;city;yes;sev_a_year;9g;m
;268;;;252;253;204;275;professional;city;yes;sev_a_year;3g;f
;249;;;249;210;215;255;professional;city;yes;sev_a_year;6g;f
415;302;;368;285;288;;428;higher;city;yes;sev_a_year;9g;f
;263;;;211;213;190;283;professional;city;yes;min_once_a_month;3g;f
;303;;;233;234;234;313;professional;city;no;never;1g;f
350;218;;323;307;307;218;222;higher;city;yes;never;10g;f
;320;;;294;214;285;485;higher;city;yes;sev_a_year;6g;f
;306;;;220;221;268;321;professional;city;yes;never;5g;f
;239;;;235;238;237;246;professional;city;no;never;6g;f
;205;;359;248;250;207;195;professional;city;yes;sev_a_year;10g;f
;281;;;218;195;281;300;professional;city;yes;sev_a_year;7g;f
;255;;;240;280;274;293;professional;city;yes;sev_a_year;10g;f
333;339;;;406;406;274;348;higher;city;yes;sev_a_year;5g;f
519;316;;;233;235;190;313;professional;city;yes;sev_a_year;7g;f
214;216;332;338;214;242;218;227;professional;city;yes;never;9g;m
;;;;295;225;225;;higher;city;no;never;4g;f
;256;;;434;239;459;264;higher;city;yes;sev_a_year;6g;f
;243;;390;331;243;243;257;higher;city;yes;min_once_a_month;1g;f
344;394;;;284;227;179;;higher;city;yes;sev_a_year;6g;f
;254;;;270;270;210;264;professional;city;yes;sev_a_year;2g;m
439;343;;427;305;257;221;;professional;city;yes;sev_a_year;6g;f
;;;;239;240;229;;professional;city;yes;sev_a_year;5g;f
279;;;;351;351;210;307;professional;city;yes;never;6g;m
269;279;;;272;275;197;284;higher;city;yes;sev_a_year;8g;f
251;253;450;450;210;211;215;263;professional;city;yes;sev_a_year;3g;f
295;297;329;329;359;216;295;364;general;city;yes;sev_a_year;2g;m
;296;;;286;288;298;368;higher;city;yes;sev_a_year;2g;m
;342;;;265;267;208;363;higher;city;yes;min_once_a_month;2g;f
;238;;249;232;232;204;;professional;city;yes;sev_a_year;9g;m
328;354;375;375;233;259;321;362;professional;city;yes;sev_a_year;9g;m
;373;;;290;179;290;395;professional;city;yes;sev_a_year;5g;f
497;257;623;;203;442;226;266;general;city;yes;sev_a_year;2g;f
280;289;486;486;221;221;417;307;professional;city;yes;never;6g;m
;222;;;222;223;308;250;professional;city;yes;sev_a_year;8g;f
;310;;;330;172;227;;professional;city;yes;never;1g;m
461;315;494;;260;261;239;484;professional;city;yes;sev_a_year;4g;f
;233;;;217;219;240;256;professional;city;yes;sev_a_year;9g;m
;302;;;265;266;294;316;professional;city;yes;sev_a_year;4g;f
;;;;245;198;266;300;professional;city;yes;sev_a_year;1g;f
;234;;;221;221;262;245;professional;city;yes;sev_a_year;9g;f
;252;;;266;267;208;277;higher;city;yes;sev_a_year;6g;m
797;281;;759;264;265;635;290;higher;city;no;never;3g;f
290;260;;281;259;262;213;272;higher;city;yes;never;9g;m
253;;273;;264;209;311;262;professional;city;yes;sev_a_year;5g;f
;296;;;299;217;296;343;professional;city;yes;sev_a_year;5g;m
;249;;;269;235;386;255;professional;city;yes;sev_a_year;5g;m
;272;;;347;230;183;287;professional;city;yes;sev_a_year;5g;m
;315;;;219;221;209;404;professional;city;yes;sev_a_year;5g;f
206;218;287;;448;257;292;238;general;city;yes;sev_a_year;8g;f
;;;;256;287;219;384;higher;city;yes;sev_a_year;10g;f
;193;;211;550;212;193;217;general;city;yes;never;6g;f
;248;;380;382;201;248;269;professional;city;yes;sev_a_year;5g;f
;236;;;488;227;304;249;professional;city;yes;sev_a_year;5g;f
;317;;;193;193;193;321;general;city;yes;min_once_a_month;2g;f
;258;;;297;213;271;;higher;city;no;never;5g;f
;;;;267;239;;;higher;city;yes;sev_a_year;11g;f
;210;;;305;214;258;268;professional;city;yes;sev_a_year;5g;f
;261;;;344;247;261;267;higher;city;yes;sev_a_year;9g;m
;228;;;189;225;;238;professional;city;yes;sev_a_year;9g;f
;306;;465;339;245;568;;higher;city;yes;sev_a_year;2g;f
;295;;510;374;389;349;304;professional;city;yes;sev_a_year;3g;f
;260;;;230;233;210;283;professional;city;yes;sev_a_year;6g;f
;225;;;229;228;289;241;professional;city;yes;never;8g;f
;287;;;235;236;237;328;professional;city;yes;sev_a_year;4g;f
;276;;583;275;277;217;292;higher;city;yes;never;4g;f
;297;;;378;380;325;306;higher;city;yes;sev_a_year;2g;f
;250;;;240;240;240;259;professional;city;yes;sev_a_year;4g;f
;303;;;227;227;243;315;professional;city;yes;never;2g;m
239;241;357;361;284;237;241;255;higher;city;yes;sev_a_year;5g;f
;266;;;254;252;425;272;professional;city;yes;sev_a_year;9g;f
;253;;;217;242;253;268;professional;city;yes;never;8g;m
;318;;;465;160;224;332;professional;city;yes;sev_a_year;2g;f
;251;;;264;264;443;266;professional;city;yes;sev_a_year;3g;f
;237;;;213;213;270;246;general;city;yes;sev_a_year;8g;f
;306;;;387;209;209;330;professional;city;yes;sev_a_year;6g;f
725;346;;431;264;207;219;362;higher;city;yes;never;3g;m
;304;;;232;268;256;;general;city;yes;sev_a_year;11g;m
;;;;196;248;232;;general;city;yes;sev_a_year;3g;f
343;;;;223;225;;387;professional;city;yes;sev_a_year;10g;f
313;224;495;285;344;223;224;235;professional;city;yes;sev_a_year;4g;f
487;221;;519;216;217;259;228;professional;city;yes;sev_a_year;6g;m
;314;;;466;264;302;317;professional;city;yes;once_a_week;7g;m
270;284;380;380;225;226;;299;professional;city;yes;min_once_a_month;6g;f
;298;;;224;226;191;416;professional;city;yes;sev_a_year;6g;f
409;284;;356;262;264;205;306;higher;city;yes;sev_a_year;9g;m
176;193;226;226;210;251;205;196;professional;city;yes;sev_a_year;9g;f
627;;640;;267;211;232;217;professional;city;yes;sev_a_year;6g;f
;339;;;272;273;353;376;higher;city;yes;sev_a_year;4g;m
;315;;;313;256;315;315;general;city;yes;never;5g;m
;223;;;299;217;217;423;higher;city;yes;min_once_a_month;5g;f
;273;;441;215;218;275;304;professional;city;yes;sev_a_year;6g;f
;306;;;278;279;330;314;general;city;yes;never;4g;f
300;301;370;597;298;300;229;309;higher;city;no;never;1g;f
;305;;;474;199;317;298;higher;city;no;never;2g;m
;249;;483;270;273;222;283;higher;city;yes;never;5g;f
;338;;545;386;304;186;356;general;city;yes;never;7g;m
606;264;;;335;203;172;277;higher;city;yes;min_once_a_month;6g;f
;227;;409;263;265;265;;higher;city;yes;min_once_a_month;2g;f
;310;;;239;241;183;316;professional;city;yes;sev_a_year;7g;m
;243;;;288;289;204;270;higher;city;yes;sev_a_week;8g;m
;474;;;265;245;260;;professional;city;yes;sev_a_year;6g;f
;258;;;284;272;258;290;higher;city;yes;sev_a_year;8g;m
;281;;;153;201;261;302;general;city;yes;sev_a_week;1g;f
;229;;269;250;302;206;265;higher;city;yes;min_once_a_month;9g;f
369;459;431;;242;245;213;443;professional;city;yes;min_once_a_month;5g;f
416;;422;;259;241;320;429;professional;city;yes;sev_a_year;5g;f
;396;;516;218;220;314;296;professional;city;yes;never;8g;f
;271;;;267;255;;266;higher;city;yes;sev_a_year;11g;m
245;249;;;361;247;374;254;higher;city;yes;sev_a_year;8g;m
;258;;;262;264;204;274;higher;city;no;never;4g;m
;;;;253;255;;;professional;city;yes;sev_a_year;11g;m
;250;;;461;236;557;260;professional;city;yes;sev_a_year;4g;f
281;284;;;218;220;287;300;professional;city;yes;never;10g;m
