partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
0;1;0;0;1;1;1;1;;267;;;218;246;357;277;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;never;6g;m
0;0;0;0;1;1;1;1;;;;;220;245;216;268;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;village;no;never;8g;m
1;1;1;0;1;1;1;1;707;291;855;;247;249;291;305;>;<;<;>;>;>;>;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;sev_a_year;2g;f
0;1;0;0;1;1;1;1;;215;;;217;220;215;219;>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;professional;village;yes;never;9g;f
0;1;0;0;1;1;1;1;;254;;;225;227;254;266;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;8g;f
0;1;0;0;1;1;1;1;;284;;;281;198;251;290;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;village;yes;never;2g;m
1;1;0;0;1;1;1;1;293;302;;;443;442;218;302;<;<;<;<;<;>;<;<;<;<;<;>;=;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;professional;village;yes;never;1g;m
0;0;0;0;1;1;1;1;;;;;232;232;210;264;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;village;yes;never;11g;f
0;0;0;0;1;1;1;1;;;;;206;305;182;213;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;professional;village;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;;286;;;475;231;286;303;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;village;yes;sev_a_year;1g;f
1;1;0;0;1;1;1;1;355;368;;;348;233;237;365;<;<;<;>;>;>;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;professional;village;yes;sev_a_year;2g;f
0;1;0;0;1;1;1;1;;260;;;241;242;211;274;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;village;yes;never;8g;f
0;1;0;0;1;1;1;1;;240;;;246;272;201;243;>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;professional;village;yes;never;6g;m
0;1;0;0;1;1;1;1;;282;;;291;294;294;293;>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;=;>;>;higher;village;yes;never;4g;m
1;1;1;0;1;1;1;1;570;215;928;;151;221;215;199;>;<;<;>;>;>;>;<;<;>;<;=;>;<;>;>;>;>;>;>;>;>;<;<;<;>;>;>;general;village;yes;sev_a_year;1g;f
0;1;0;0;1;1;0;1;;223;;;226;284;;231;>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;>;>;professional;village;yes;sev_a_year;11g;f
0;1;0;0;1;1;1;1;;320;;;195;267;320;331;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;5g;f
0;1;0;0;1;1;1;1;;245;;;291;353;245;254;>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;professional;village;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;;240;;;262;306;205;249;>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;<;higher;village;yes;sev_a_year;5g;f
0;1;0;0;1;1;1;1;;211;;;278;232;416;221;>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;>;<;>;<;>;>;professional;village;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;250;;;212;253;288;258;>;n;n;>;>;>;>;<;<;>;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;village;yes;never;5g;m
0;1;0;0;1;1;1;1;;237;;;173;197;237;290;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;once_a_week;1g;f
