work,separation,partner,marriage,children,gender,generation
18,27,,27,28,0,5
19,19,,19,29,1,4
20,17,,,,1,0
19,35,,23,23,1,4
19,,,34,36,1,5
20,20,,20,21,1,6
18,21,,21,22,1,3
18,29,,29,29,1,6
23,18,,21,23,1,3
16,21,,21,22,1,2
16,22,,22,22,0,4
19,19,,19,22,1,5
19,16,,18,19,1,5
16,18,23,26,28,0,4
16,17,39,39,,0,5
16,18,,18,19,1,2
13,36,,36,37,1,1
18,27,,25,28,1,6
27,,22,22,26,1,5
17,17,,24,25,1,3
14,19,,23,24,0,2
21,19,23,26,28,0,6
16,19,,22,24,0,4
18,22,22,33,23,1,5
16,17,,23,24,1,1
18,,,21,25,1,6
16,16,,,20,1,0
20,21,,21,22,0,3
19,21,,21,24,1,2
17,,,21,23,0,1
,,,,,0,0
20,22,,22,23,1,4
,22,,22,23,1,6
20,,,,,1,0
21,18,,22,24,1,3
21,18,,21,24,0,4
18,,,18,19,0,2
19,,,21,22,0,5
24,24,,20,21,1,6
25,,,,,1,6
20,22,,22,23,1,5
20,20,,20,,1,0
16,,,19,21,0,2
18,,,,,0,6
20,20,,24,26,1,3
19,15,,24,,1,5
19,,23,26,26,1,6
24,,,22,23,1,6
15,20,32,,22,1,4
,,,,,0,0
20,20,,20,22,1,5
22,23,,23,24,1,4
16,16,,25,25,0,3
20,20,20,,,0,6
18,24,,,,1,1
,18,20,30,24,1,6
19,23,20,,22,1,6
18,17,,19,27,1,5
16,18,,,23,0,4
,,,,21,1,6
,,,,,1,0
,,,23,25,0,6
17,20,,,,1,0
