work,separation,partner,marriage,children,gender,generation
27,29,,32,34,0,1
16,23,,18,19,1,2
17,17,,20,,1,3
20,23,,23,25,1,5
18,19,21,22,24,0,5
24,15,20,20,21,0,4
20,18,,18,18,1,6
22,15,20,20,21,1,5
21,,,,,1,6
19,26,,23,23,1,6
16,23,21,21,21,1,4
15,20,21,21,22,0,3
19,21,,21,23,1,6
19,20,,21,21,1,0
18,,,25,25,0,2
19,23,24,24,26,0,6
21,26,27,,,0,6
17,23,,24,26,0,5
17,17,21,21,23,1,5
24,26,,23,24,0,6
16,19,,19,20,0,4
17,20,,20,21,1,4
24,,,25,26,1,4
17,19,,21,20,0,5
23,28,,28,29,1,6
17,20,,,31,1,1
25,21,,21,23,1,6
,,,23,25,0,2
16,21,23,23,29,0,6
,22,22,23,,1,0
22,19,25,,,1,0
21,17,21,,,1,0
,,,,25,0,2
,18,,,,0,0
16,18,20,20,20,0,6
,18,,,,0,0
21,20,20,19,20,0,6
21,25,,25,27,0,4
,,,21,21,1,2
17,17,,,,0,0
,,,,,1,0
17,,,,,0,0
18,19,24,25,27,0,5
,,,,,0,0
,,22,22,,1,6
,21,45,21,22,0,5
18,17,,,,1,0
24,,,,,0,0
16,,,,,0,0
,,,,,1,0
18,20,20,21,25,0,3
,,,,,1,0
,,,,,0,0
17,19,,20,20,1,2
14,23,,23,25,1,1
18,30,,30,30,1,2
15,24,,24,25,0,3
19,21,,21,22,1,4
20,21,,21,22,0,3
19,21,,22,22,0,6
19,19,,19,20,1,6
18,18,,21,22,1,5
18,18,,21,24,0,6
18,24,29,25,25,1,1
19,20,,20,21,1,2
18,16,42,56,23,1,3
21,,,,,0,0
18,,,20,20,1,2
17,20,,,,1,0
,21,,21,24,0,3
18,19,,19,19,1,2
17,33,,17,24,1,1
18,17,,27,28,1,3
18,26,26,26,27,1,2
,,,20,21,0,4
19,23,23,23,23,0,6
18,18,20,20,20,1,3
17,25,,,,1,3
,18,,25,26,1,1
17,17,,17,18,1,6
,,,,35,1,5
,,,,,1,5
17,,,23,24,0,4
17,23,,23,25,1,1
20,21,,20,21,1,5
24,25,,25,,1,5
17,17,,21,22,0,6
19,29,29,29,30,1,6
14,,,20,21,1,2
,22,,22,22,1,3
,,,19,21,1,3
16,16,19,19,20,0,3
,19,,19,20,1,3
,20,,20,21,0,3
,,,25,26,0,4
,,,30,,0,5
18,20,20,21,,1,0
16,,,33,34,1,2
,,,,,0,0
19,20,,20,24,0,6
,22,,22,23,1,4
23,25,26,,,1,6
,18,18,,20,1,0
19,18,18,,,0,0
14,,25,25,,1,1
16,,,27,,1,1
16,15,,22,23,1,4
16,18,,23,24,1,1
,31,,36,37,0,1
,,,23,25,1,3
19,19,24,,,1,2
14,,,19,20,0,3
21,21,24,24,26,0,3
,19,,,25,1,2
,,,,,0,0
16,,,21,21,1,5
22,25,25,,,0,6
18,20,,18,18,1,5
15,17,,20,20,1,3
18,20,,20,21,1,3
19,,,,21,1,0
18,,,20,20,1,3
15,,,18,23,1,5
17,22,,23,24,1,3
12,22,,22,23,1,1
20,21,,21,22,0,4
,,,,,0,0
33,22,,23,23,0,2
23,23,,,,1,0
21,21,,21,22,1,4
16,32,,32,33,1,2
16,27,,27,28,0,3
17,,,,,0,5
18,,,,,1,0
19,,18,18,20,1,4
,15,,23,24,0,5
19,18,,20,21,1,5
,,,,,1,0
,,,,26,1,2
20,,,20,21,1,2
20,20,,22,25,0,6
14,14,14,,,1,0
,,,,23,1,5
19,,,19,33,0,4
18,18,,21,23,0,5
21,21,,20,20,1,4
22,22,22,22,20,0,5
,,21,36,37,0,5
25,25,,25,26,1,6
,,,25,26,0,6
,,,22,23,1,2
,,,24,25,1,6
16,17,,20,21,1,2
18,27,,25,16,0,2
19,24,,24,25,1,2
15,50,,43,,0,1
,,,,,0,0
19,19,,24,26,1,2
19,15,,22,22,1,4
16,22,,23,23,1,3
23,23,,25,26,1,4
22,17,22,21,22,0,4
17,23,,23,24,0,4
14,23,,23,24,0,3
18,18,18,18,18,1,5
32,29,,33,34,1,2
19,19,,24,24,0,3
17,18,18,23,23,1,6
17,30,,26,27,1,2
19,,37,,,1,1
17,23,,23,25,1,1
17,17,,20,23,1,2
17,20,20,20,18,1,4
17,,22,22,23,0,5
16,27,,24,25,1,3
15,22,,22,22,1,3
,,,,,1,0
21,17,,17,24,1,5
12,21,,21,22,0,1
17,16,22,22,23,0,4
21,21,,21,25,1,3
15,16,17,17,20,1,4
19,17,,20,21,1,6
18,18,18,18,18,1,5
13,,,24,25,1,1
,,,,,0,0
,,,17,18,1,6
18,28,,20,20,0,5
24,,,25,31,0,1
,,,,,0,3
,,,,27,1,5
,,,,,0,6
,,,,,0,6
17,18,,26,27,1,4
14,25,,22,23,1,2
16,12,,27,27,1,4
19,19,,23,24,0,4
25,19,,22,27,1,6
17,17,,21,22,0,4
18,18,,24,25,1,3
,20,,20,21,1,4
,,,,,0,0
19,23,,23,24,1,5
17,14,,28,29,0,5
21,51,,18,20,1,3
,,,30,32,1,2
20,21,,21,22,1,3
,23,20,20,21,0,4
17,17,21,21,22,1,6
15,,18,18,21,0,6
18,19,19,,,1,0
20,20,,,,1,1
23,19,,23,23,0,6
,20,,20,21,1,2
,22,22,,24,1,0
15,20,23,23,23,0,5
,14,,23,24,0,2
16,,,23,24,0,4
19,,,,,1,6
19,21,,21,19,0,6
17,15,,21,22,1,4
17,21,22,22,23,0,5
24,25,26,27,28,0,5
,,,22,24,0,3
,19,,19,24,1,6
,22,22,19,20,1,5
,21,,22,23,1,3
20,20,,20,28,1,4
18,21,,21,22,1,3
,17,19,22,23,1,5
17,21,,25,25,0,2
19,23,,23,23,1,4
19,19,,22,22,0,6
20,20,19,21,21,0,5
17,23,,26,27,0,3
22,22,,22,30,1,5
20,20,,,,1,0
21,17,17,,17,1,0
18,18,,20,20,0,2
17,20,23,26,24,1,5
18,18,21,22,22,1,3
,,,,,1,0
21,23,23,23,23,0,5
22,16,,29,29,0,5
17,17,,17,17,1,3
18,18,,20,22,0,3
,,,,,1,0
18,18,,20,,1,3
17,17,,23,23,0,3
17,18,,18,21,1,3
19,17,17,19,19,0,4
19,18,,18,20,1,6
22,,,17,19,1,6
17,16,16,18,25,1,5
23,24,33,24,25,0,5
22,20,,23,27,0,5
23,17,22,23,,0,0
16,17,,17,19,1,3
,13,,17,17,1,5
25,25,25,25,26,1,5
22,26,23,,23,1,6
22,24,24,,24,1,6
18,18,24,,26,0,6
19,,,,,1,0
19,19,,20,22,1,6
22,22,,23,31,1,5
18,21,,21,21,1,0
23,23,,23,24,1,2
17,18,,26,,0,6
20,27,27,27,28,1,6
17,18,19,21,20,1,6
,15,,24,25,0,3
16,19,28,30,37,0,4
19,,,,,1,0
19,,,,,0,5
,,,,,1,0
,12,,,,1,0
16,16,,30,31,0,3
14,16,,22,25,0,1
17,22,,22,23,0,4
17,17,,22,24,0,4
18,19,,20,21,1,4
22,18,,26,27,0,1
22,17,,24,25,0,4
19,17,,,,0,0
17,30,,,,1,4
18,18,,22,23,1,4
19,31,,19,24,1,5
26,30,30,28,28,1,2
20,20,,20,22,1,5
22,22,,22,23,0,4
18,19,,23,24,0,5
19,20,,20,20,1,0
20,,,,,1,0
20,21,,21,23,1,5
17,,,,,0,0
18,,,,,0,0
25,24,,24,,1,6
,17,,,,0,0
,21,,24,28,0,4
17,17,21,21,22,0,5
18,,,26,18,0,6
17,,,19,20,0,5
24,,,24,26,1,5
,,,,,1,0
17,23,,24,25,1,5
,,,,17,1,2
22,,,22,23,1,1
17,17,,17,25,0,1
25,47,,,,1,1
18,27,,27,29,1,1
19,33,,,23,1,6
18,,,,35,0,4
21,,,21,19,1,6
20,,,,,0,0
,18,20,21,21,1,6
,,,17,,1,3
,,,20,21,0,3
17,15,,30,31,0,1
22,17,,,,0,0
,18,,18,19,1,3
18,25,,23,24,0,4
18,31,,23,24,0,4
,,,,,1,6
18,24,,24,25,1,2
22,,,23,24,1,4
17,23,,23,25,1,4
20,20,,21,21,1,5
18,25,,25,31,0,4
,,,27,28,1,1
,,,24,24,0,2
17,26,,,,0,6
20,,,,,1,6
30,,,41,42,0,1
18,30,,,28,1,4
,,,29,30,1,6
21,22,,24,25,1,4
23,17,23,29,25,1,6
27,24,,24,24,1,5
22,17,,24,25,0,4
24,25,24,25,25,1,0
26,28,,28,30,1,6
20,25,,23,24,1,5
,16,,18,19,1,5
18,,,,,0,0
14,19,,,,1,3
,21,21,22,,0,0
20,24,,24,25,1,2
19,,,,,0,0
17,19,,19,20,1,4
,,,,,0,0
17,15,19,19,21,1,6
19,21,,21,22,1,3
19,21,21,21,22,1,4
21,22,,21,22,0,5
20,20,,25,26,1,3
18,25,,25,26,1,2
20,20,,18,19,1,5
17,15,,20,22,1,3
18,19,19,19,20,1,4
18,19,,19,20,1,6
15,19,,19,20,1,3
18,,19,,18,1,0
16,16,,23,24,0,3
23,28,,26,27,0,2
15,21,,18,19,0,4
17,17,,21,22,1,3
18,17,,,23,0,1
17,19,19,19,21,1,2
22,21,,21,,0,0
16,21,,25,26,0,2
23,17,,,,1,0
16,,19,19,21,1,2
,21,,21,24,1,6
19,17,,23,26,0,2
19,,,,22,1,5
20,24,24,21,16,1,6
19,30,30,22,25,1,6
22,24,,,23,1,5
25,27,24,24,25,0,6
21,21,23,24,,0,0
21,17,,,30,1,5
26,26,28,28,,0,6
20,20,,,38,1,5
24,24,,24,26,1,5
20,22,,22,22,1,5
20,30,,25,25,0,4
22,20,,,,0,0
16,18,,18,19,1,5
23,27,,,,1,6
,,,21,,1,2
24,18,,22,24,1,4
20,,,34,,0,1
18,19,19,19,21,1,2
16,,27,,,1,1
19,19,,,24,0,6
21,16,,22,23,0,5
20,28,,21,22,0,4
17,18,,18,19,1,4
22,24,,24,25,1,4
20,25,,25,26,0,4
,,,20,21,1,3
20,24,,24,31,1,2
21,24,,24,25,0,3
21,,,,,0,0
19,21,21,23,26,0,0
20,19,,33,33,0,4
,,,,,0,0
19,25,,23,25,1,4
,22,,,,1,0
,20,,20,20,1,0
22,17,,25,,0,6
22,,,,,0,0
17,,,,,0,4
21,21,,19,22,1,2
,,,,,0,0
,,,,,1,0
17,,,,,0,6
,,,,,1,0
,18,,,,1,0
22,24,,24,25,1,2
22,30,,30,,0,6
21,27,,,,0,6
,22,,22,22,1,6
12,19,,31,32,0,2
15,,,25,25,0,2
23,48,,,,0,4
17,17,,27,28,0,2
20,26,,26,27,1,3
17,,,24,25,1,2
23,23,,23,25,0,3
20,25,,25,26,1,6
21,,,20,21,1,6
20,22,,22,24,0,3
,,,,,1,0
17,21,23,23,24,0,1
17,17,,21,22,0,5
21,18,22,23,42,0,4
18,22,19,,20,1,0
22,18,,18,19,1,0
18,17,18,18,19,1,3
22,22,,23,24,0,0
24,20,,,21,1,5
18,18,,22,23,1,6
20,20,,20,21,1,3
30,16,,22,23,0,5
20,17,21,21,22,1,3
16,,22,22,24,0,3
18,,,,,1,0
,,21,21,22,1,3
,,,,34,1,5
18,18,18,18,18,1,6
23,,,23,23,0,6
22,,,,,1,0
22,17,,33,33,1,4
,17,,22,23,1,5
21,18,,24,,1,0
16,18,,23,26,0,1
14,16,,21,22,1,1
17,16,23,23,24,0,4
14,17,,20,22,1,1
22,17,,25,,0,6
21,17,,,,1,0
23,13,,23,25,1,2
20,17,,23,30,1,5
19,20,,26,26,0,5
17,21,,31,32,0,5
21,18,,29,30,0,5
16,19,18,18,21,1,6
,,,22,22,0,3
20,18,21,23,24,0,5
19,,,,,0,6
17,20,,21,21,0,0
20,21,,21,22,0,3
22,,,22,22,1,5
19,19,23,24,25,0,2
17,15,20,25,,0,6
30,26,,,,0,5
