,work,separation,partner,marriage,children,gender,generation,Text
960,0.049812051,0.045557583,0.051024709,0.051195002,0.052387041,0,5,5
997,0.067392775,0.045557583,0.055884205,0.07069786,0.059530728,1,6,6
1000,0.070322896,0.066996446,0.058313953,0.060946431,0.059530728,1,0,0
1011,0.049812051,0.040197867,0.046165213,0.046319287,0.050005812,1,6,6
1013,0.055672293,0.056277014,0.051024709,0.051195002,0.052387041,1,4,4
1019,0.052742172,0.050917299,0.046165213,0.046319287,0.047624583,1,4,4
1028,0.049812051,0.050917299,0.046165213,0.046319287,0.050005812,1,2,2
1036,0.058602413,0.064316588,0.058313953,0.051195002,0.038099666,1,6,6
1037,0.055672293,0.080395735,0.072892442,0.053632859,0.059530728,1,6,6
1039,0.073253017,0.072356161,0.058313953,0.058508573,0.059530728,0,6,6
1053,0.052742172,0.050917299,0.046165213,0.046319287,0.050005812,1,2,2
1065,0.055672293,0.056277014,0.051024709,0.056070716,0.061911957,0,0,0
1095,0.049812051,0.056277014,0.055884205,0.056070716,0.057149499,0,1,1
1097,0.061532534,0.048237441,0.053454457,0.056070716,0.100011623,0,4,4
1100,0.052742172,0.045557583,0.043735465,0.04388143,0.045243353,1,3,3
1106,0.058602413,0.045557583,0.051024709,0.051195002,0.052387041,1,3,3
1111,0.052742172,0.048237441,0.043735465,0.04388143,0.042862124,1,6,6
1119,0.049812051,0.042877725,0.055884205,0.056070716,0.057149499,0,4,4
1128,0.046881931,0.050917299,0.043735465,0.04388143,0.050005812,1,6,6
1130,0.058602413,0.048237441,0.051024709,0.056070716,0.057149499,0,5,5
1135,0.055672293,0.050917299,0.055884205,0.058508573,0.059530728,0,2,2
1138,0.046881931,0.03751801,0.043735465,0.039005716,0.042862124,1,4,4
1149,0.049812051,0.042877725,0.041305717,0.041443573,0.052387041,1,2,2
1156,0.052742172,0.045557583,0.065603198,0.04388143,0.045243353,1,4,4
1194,0.055672293,0.064316588,0.058313953,0.063384288,0.061911957,1,3,3
1219,0.049812051,0.048237441,0.043735465,0.046319287,0.040480895,1,6,6
1221,0.046881931,0.050917299,0.058313953,0.080449288,0.059530728,1,6,6
1232,0.049812051,0.048237441,0.043735465,0.04388143,0.045243353,1,3,3
1247,0.073253017,0.075036019,0.065603198,0.065822145,0.066674416,0,6,6
1249,0.073253017,0.069676304,0.055884205,0.056070716,0.061911957,0,6,6
1254,0.067392775,0.06163673,0.072892442,0.073135717,0.076199332,0,2,2
1269,0.061532534,0.045557583,0.055884205,0.058508573,0.064293186,0,5,5
1271,0.061532534,0.056277014,0.046165213,0.046319287,0.047624583,1,5,5
1273,0.058602413,0.133992891,0.06317345,0.063384288,0.064293186,1,3,3
1285,0.049812051,0.045557583,0.048594961,0.051195002,0.052387041,1,2,2
1286,0.070322896,0.069676304,0.046165213,0.046319287,0.045243353,1,5,5
1295,0.058602413,0.048237441,0.092330426,0.051195002,0.052387041,1,4,4
1296,0.061532534,0.069676304,0.043735465,0.095076432,0.042862124,1,3,3
1329,0.049812051,0.066996446,0.048594961,0.048757144,0.069055645,1,4,4
1330,0.058602413,0.053597157,0.051024709,0.058508573,0.064293186,1,5,5
1357,0.049812051,0.066996446,0.060743701,0.065822145,0.061911957,1,4,4
1381,0.049812051,0.048237441,0.055884205,0.046319287,0.042862124,0,5,5
1383,0.049812051,0.040197867,0.041305717,0.041443573,0.042862124,1,5,5
1398,0.055672293,0.050917299,0.046165213,0.048757144,0.050005812,1,0,0
1402,0.055672293,0.064316588,0.053454457,0.056070716,0.057149499,0,6,6
1410,0.052742172,0.048237441,0.046165213,0.051195002,0.050005812,0,5,5
