gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
m;general;village;yes;never;7g;1;1;0;0;1;1;1;1;290;303;;;301;309;331;310;br
f;professional;village;yes;sev_a_year;7g;0;1;0;0;1;1;0;1;;234;;;244;207;;242;work
f;general;village;yes;sev_a_year;3g;1;1;0;0;1;1;1;1;541;262;;;277;262;234;197;br
m;professional;village;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;418;422;;;;232;221;221;child
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;;255;;;255;;174;235;sep
m;professional;village;yes;never;6g;1;1;0;1;1;1;1;1;363;295;;363;326;267;214;208;br
f;general;village;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;;276;;;;276;234;164;child
f;general;village;yes;sev_a_year;1g;0;1;0;0;1;0;1;1;;270;;;289;;120;201;sep
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;;;;;;255;173;162;child
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;254;;;;217;215;237;child
f;professional;village;yes;never;5g;0;0;0;0;0;1;1;1;;;;;;205;313;310;child
f;professional;village;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;238;;;;212;234;233;child
f;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;240;;;;235;234;232;child
f;general;village;yes;sev_a_year;2g;1;1;0;1;1;1;1;1;333;258;;276;269;258;210;196;br
f;professional;village;yes;sev_a_year;8g;0;1;0;0;1;1;1;1;;253;;;262;206;229;227;div
f;professional;village;yes;never;10g;0;1;0;0;1;1;0;1;;218;;;221;277;;217;work
m;professional;village;yes;never;4g;0;1;0;0;1;1;1;1;;320;;;332;199;184;183;partner
f;professional;village;yes;never;6g;0;1;0;0;1;0;1;1;;338;;;451;;240;238;sep
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;238;;;;247;192;238;child
m;professional;village;yes;never;6g;0;1;0;0;1;1;1;1;;281;;;428;387;255;215;partner
f;general;village;yes;sev_a_year;7g;0;1;0;0;1;1;0;1;;191;;;206;197;;209;work
f;higher;village;yes;sev_a_year;9g;0;1;0;0;1;1;0;1;;272;;;289;210;;268;work
f;professional;village;yes;sev_a_year;1g;0;0;0;0;1;0;1;1;;;;;256;;177;307;sep
f;professional;village;yes;min_once_a_month;6g;0;0;0;0;1;0;1;1;;;;;267;;182;258;sep
f;higher;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;267;;;;215;262;260;child
f;professional;village;yes;sev_a_year;7g;0;1;0;0;1;0;1;1;;356;;;361;;238;237;sep
f;professional;village;yes;sev_a_year;5g;0;1;0;1;1;1;1;0;;274;;286;385;203;225;;education
f;higher;village;yes;sev_a_year;8g;0;1;0;0;1;0;1;1;;272;;;277;;267;264;sep
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;329;;;;329;304;303;child
f;professional;village;yes;sev_a_year;1g;1;0;1;0;0;0;1;1;446;;466;;;;376;375;sep
m;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;335;;;;339;265;237;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;247;;;;254;244;243;child
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;236;;;;177;210;232;child
