gender;education type;locality;religion;how_often;generation;first_event
f;higher;city;yes;never;11g;sep
f;higher;city;yes;sev_a_year;8g;work
f;higher;city;yes;sev_a_year;5g;marriage
f;professional;city;yes;sev_a_year;2g;education
f;professional;city;yes;sev_a_year;10g;education
f;professional;city;yes;sev_a_year;9g;education
f;higher;city;yes;sev_a_year;10g;marriage
m;professional;city;yes;sev_a_year;6g;work
f;professional;city;yes;never;6g;sep
m;general;city;yes;min_once_a_month;11g;work
m;general;city;yes;never;11g;education
f;professional;city;yes;never;1g;work
f;professional;city;yes;sev_a_year;5g;sep
f;professional;city;yes;never;6g;sep
m;professional;city;no;never;2g;work
f;professional;city;yes;sev_a_year;6g;work
f;higher;city;yes;never;1g;work
f;professional;city;yes;sev_a_year;3g;marriage
f;professional;city;yes;never;9g;sep
f;professional;city;yes;sev_a_year;9g;sep
f;professional;city;yes;sev_a_year;7g;sep
f;professional;city;yes;sev_a_year;10g;education
f;professional;city;yes;sev_a_year;6g;education
f;professional;city;no;sev_a_year;5g;partner
m;professional;city;no;never;7g;education
m;professional;village;yes;never;2g;work
f;professional;village;yes;never;6g;education
f;higher;village;yes;never;4g;sep
f;professional;village;yes;never;6g;education
f;general;village;yes;never;2g;sep
f;higher;village;yes;sev_a_year;7g;sep
f;general;village;no;never;3g;work
f;professional;village;yes;never;7g;education
f;professional;village;no;never;6g;education
f;professional;village;no;never;7g;work
f;professional;village;yes;never;9g;work
m;higher;village;no;never;8g;education
f;professional;village;yes;never;8g;sep
f;professional;village;yes;never;5g;education
f;professional;village;yes;never;9g;work
f;professional;village;yes;never;5g;sep
f;general;village;yes;never;2g;work
f;professional;village;yes;sev_a_year;8g;sep
f;professional;village;yes;never;5g;sep
m;professional;village;yes;never;8g;education
f;higher;village;yes;never;11g;work
f;professional;village;no;sev_a_year;7g;sep
f;professional;village;no;never;4g;work
f;higher;village;yes;sev_a_year;9g;work
f;professional;village;yes;never;5g;sep
f;professional;village;no;never;7g;sep
m;professional;village;no;never;6g;work
f;professional;village;no;never;5g;education
m;professional;village;no;never;8g;sep
f;professional;village;yes;sev_a_year;6g;education
m;general;village;yes;never;6g;sep
m;professional;village;yes;sev_a_year;4g;sep
f;higher;village;yes;sev_a_year;6g;education
m;professional;village;yes;never;6g;sep
m;professional;village;yes;never;11g;work
m;general;village;yes;sev_a_year;6g;work
f;professional;village;yes;sev_a_year;9g;education
m;professional;village;yes;sev_a_year;8g;education
m;professional;village;yes;sev_a_year;11g;sep
f;professional;village;yes;never;9g;sep
f;professional;village;yes;never;7g;work
f;professional;village;yes;never;10g;child
f;professional;village;yes;never;4g;work
f;general;village;yes;never;2g;education
f;professional;village;no;never;9g;work
m;general;village;yes;never;4g;sep
f;professional;village;yes;never;8g;education
f;professional;village;yes;sev_a_year;6g;sep
f;professional;village;yes;never;5g;work
f;general;village;yes;never;7g;work
f;professional;village;yes;never;6g;sep
f;professional;village;yes;sev_a_year;9g;work
f;professional;village;no;never;7g;sep
m;professional;village;no;never;10g;education
f;general;village;yes;never;4g;work
m;professional;village;yes;never;6g;work
f;professional;village;no;never;7g;education
f;professional;village;yes;never;2g;sep
f;professional;village;no;never;7g;sep
f;professional;village;no;never;9g;marriage
f;general;village;no;never;7g;education
f;general;village;no;never;3g;education
f;professional;village;yes;never;6g;education
f;professional;village;yes;never;8g;partner
m;general;village;yes;never;5g;work
f;general;village;yes;never;1g;work
f;general;village;yes;never;7g;work
f;general;village;yes;never;2g;education
f;general;village;yes;never;3g;work
m;general;village;no;never;9g;work
m;professional;village;yes;never;7g;work
f;professional;village;yes;never;7g;education
f;general;village;yes;sev_a_year;6g;work
m;professional;village;yes;never;5g;work
m;higher;village;yes;min_once_a_month;8g;marriage
f;professional;village;yes;never;6g;education
m;general;village;yes;never;6g;education
m;professional;village;yes;never;9g;work
m;general;village;no;never;11g;education
m;professional;village;yes;sev_a_year;5g;sep
f;professional;village;yes;sev_a_year;6g;sep
m;professional;village;yes;never;8g;work
f;general;village;no;never;6g;marriage
f;professional;village;yes;sev_a_year;9g;sep
f;general;village;no;never;8g;sep
f;professional;village;no;never;7g;work
m;general;village;no;never;9g;sep
m;professional;village;no;never;4g;marriage
f;general;village;yes;sev_a_year;9g;education
f;professional;village;no;never;6g;work
m;professional;village;no;never;7g;sep
m;general;village;yes;sev_a_year;5g;work
f;professional;village;no;never;8g;sep
f;general;village;yes;never;2g;education
f;professional;village;yes;never;6g;sep
m;professional;village;yes;never;7g;sep
m;professional;village;yes;never;11g;education
f;general;village;yes;never;4g;partner
f;professional;village;yes;never;6g;sep
f;general;village;yes;sev_a_year;5g;sep
f;professional;village;no;never;9g;sep
f;higher;village;yes;sev_a_year;8g;work
f;professional;village;yes;sev_a_year;5g;sep
m;higher;village;yes;sev_a_year;7g;sep
f;professional;village;no;never;8g;child
f;professional;village;yes;never;5g;sep
f;professional;village;yes;never;7g;sep
f;professional;village;yes;never;8g;work
f;professional;village;yes;sev_a_year;8g;sep
